PMT position table for custom PMT placement.
Meaning of each column is:
==================================================================================================
Type is used to specify which PMT to be placed:     1 = PMT1 (nominal),
                                                    2 = PMT2 in hybrid configuration,
                                                    3 = Ex-situ mPMT in WCTE,
                                                    4 = Ib-situ mPMT in WCTE (not yet implemented)
==================================================================================================
mPMTId: custom ID to override the default numbering scheme
==================================================================================================
Section is: 0 = barrel, 
            1 = top cap, 
            2 = top border ring, 
            3 = bottom cap, 
            4 = bottom border ring
==================================================================================================
X, Y, Z: PMT positions in mm. Exact values to be tuned to detector geometry at runtime
==================================================================================================
DirX, DirY, DirZ: PMT direction, just for reference
==================================================================================================
Rotation: azimuthal rotation of the PMT module
==================================================================================================
Use: enable placement (1) or not (0)
==================================================================================================


==================================================================================================
Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX       DirY       DirZ   Rotation(deg)  Use
==================================================================================================

#DATASTART
3 1 0 1596.268000000 -0.000000000 -290.000000000 -1.000000000 0.000000000 0.000000000 -90 1
3 2 0 1474.759333603 610.865317215 -290.000000000 -0.923879533 -0.382683432 0.000000000 -90 1
3 3 0 1128.731927391 1128.731927391 -290.000000000 -0.707106781 -0.707106781 0.000000000 -90 1
3 4 0 610.865317215 1474.759333603 -290.000000000 -0.382683432 -0.923879533 0.000000000 -90 1
3 5 0 0.000000000 1596.268000000 -290.000000000 -0.000000000 -1.000000000 0.000000000 -90 1
3 6 0 -610.865317215 1474.759333603 -290.000000000 0.382683432 -0.923879533 0.000000000 -90 1
3 7 0 -1128.731927391 1128.731927391 -290.000000000 0.707106781 -0.707106781 0.000000000 -90 1
3 8 0 -1474.759333603 610.865317215 -290.000000000 0.923879533 -0.382683432 0.000000000 -90 1
3 9 0 -1596.268000000 0.000000000 -290.000000000 1.000000000 -0.000000000 0.000000000 -90 1
3 10 0 -1474.759333603 -610.865317215 -290.000000000 0.923879533 0.382683432 0.000000000 -90 1
3 11 0 -1128.731927391 -1128.731927391 -290.000000000 0.707106781 0.707106781 0.000000000 -90 1
3 12 0 -610.865317215 -1474.759333603 -290.000000000 0.382683432 0.923879533 0.000000000 -90 1
3 13 0 -0.000000000 -1596.268000000 -290.000000000 0.000000000 1.000000000 -0.000000000 -90 1
3 14 0 610.865317215 -1474.759333603 -290.000000000 -0.382683432 0.923879533 0.000000000 -90 1
3 15 0 1128.731927391 -1128.731927391 -290.000000000 -0.707106781 0.707106781 0.000000000 -90 1
3 16 0 1474.759333603 -610.865317215 -290.000000000 -0.923879533 0.382683432 0.000000000 -90 1
3 17 0 1596.268000000 0.000000000 290.000000000 -1.000000000 0.000000000 0.000000000 -90 1
3 18 0 1474.759333603 610.865317215 290.000000000 -0.923879533 -0.382683432 0.000000000 -90 1
3 19 0 1128.731927391 1128.731927391 290.000000000 -0.707106781 -0.707106781 0.000000000 -90 1
3 20 0 610.865317215 1474.759333603 290.000000000 -0.382683432 -0.923879533 0.000000000 -90 1
3 21 0 0.000000000 1596.268000000 290.000000000 -0.000000000 -1.000000000 0.000000000 -90 1
3 22 0 -610.865317215 1474.759333603 290.000000000 0.382683432 -0.923879533 0.000000000 -90 1
